日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-01-01,优,40,65,27,32,5,24,0.72,24
2019-01-02,优,33,31,22,27,4,28,0.82,10
2019-01-03,优,35,40,24,34,4,36,0.81,14
2019-01-04,良,66,163,47,64,5,47,1.10,3
2019-01-05,良,54,145,37,50,4,36,1.15,4
2019-01-06,优,27,30,17,25,4,32,1.00,9
2019-01-07,良,64,145,45,65,4,43,1.18,4
2019-01-08,优,37,74,23,33,4,32,1.20,8
2019-01-09,优,40,88,27,40,5,40,1.25,13
2019-01-10,良,78,217,56,85,6,55,1.48,8
2019-01-11,轻度污染,117,244,87,123,6,74,1.70,9
2019-01-12,良,70,150,50,68,5,50,1.50,8
2019-01-13,良,71,129,51,72,6,56,1.47,13
2019-01-14,良,76,134,55,77,6,59,1.40,22
2019-01-15,良,75,179,53,76,6,52,1.43,20
2019-01-16,优,35,33,22,33,5,30,1.24,26
2019-01-17,优,42,53,27,39,5,37,1.25,62
2019-01-18,良,51,63,34,52,4,53,1.18,34
2019-01-19,良,91,196,66,112,9,82,1.36,35
2019-01-20,良,93,247,68,104,7,65,1.37,26
2019-01-21,优,45,59,30,44,5,27,1.00,60
2019-01-22,良,91,212,66,84,7,37,1.07,73
2019-01-23,良,68,109,48,71,6,60,0.92,58
2019-01-24,良,87,165,64,96,9,80,1.09,57
2019-01-25,轻度污染,117,268,87,119,7,101,1.17,62
2019-01-26,良,64,144,44,66,8,46,0.86,77
2019-01-27,良,81,197,59,80,7,53,0.94,84
2019-01-28,良,87,211,64,91,6,64,0.97,62
2019-01-29,良,83,184,57,83,6,75,1.05,61
2019-01-30,良,59,115,34,51,5,51,0.77,64
2019-01-31,优,47,127,25,41,4,43,0.78,54
2019-02-01,优,32,9,18,26,3,22,1.07,60
2019-02-02,优,45,47,30,44,4,38,1.01,58
2019-02-03,优,47,58,26,45,3,34,0.77,57
2019-02-04,优,50,69,34,48,3,30,0.80,53
2019-02-05,良,52,44,36,48,4,15,0.79,70
2019-02-06,优,47,85,29,42,3,13,0.73,62
2019-02-07,优,32,29,18,28,3,15,0.62,50
2019-02-08,优,32,57,18,30,3,17,0.62,55
2019-02-09,优,34,71,21,33,3,19,0.76,39
2019-02-10,优,26,38,13,25,3,20,0.92,8
2019-02-11,优,15,7,7,13,3,17,0.76,16
2019-02-12,优,33,49,21,31,4,29,0.79,31
2019-02-13,良,55,185,36,58,5,54,1.01,29
2019-02-14,优,44,122,26,42,4,45,0.78,39
2019-02-15,优,44,136,27,43,4,44,0.79,26
2019-02-16,优,40,107,24,40,4,39,0.79,38
2019-02-17,优,50,171,32,49,4,32,1.17,9
2019-02-18,优,29,61,15,24,4,36,1.00,11
2019-02-19,优,34,55,21,35,5,42,1.10,13
2019-02-20,优,43,74,24,45,4,33,0.97,19
2019-02-21,优,32,59,18,30,4,34,0.69,15
2019-02-22,优,23,13,14,21,4,26,1.06,28
2019-02-23,优,20,8,11,15,3,30,1.00,19
2019-02-24,优,17,7,7,11,4,26,1.04,30
2019-02-25,优,31,22,18,30,4,31,1.04,18
2019-02-26,优,41,52,25,45,4,40,1.18,9
2019-02-27,良,80,234,55,107,6,73,1.51,13
2019-02-28,良,79,211,52,102,5,56,1.52,9
2019-03-01,良,59,141,33,66,6,52,1.16,19
2019-03-02,优,48,114,24,48,5,54,0.77,22
2019-03-03,优,32,32,17,28,4,41,0.82,42
2019-03-04,优,41,38,24,40,5,42,0.89,55
2019-03-05,优,33,25,16,29,4,52,0.84,29
2019-03-06,优,20,4,10,17,4,38,0.81,21
2019-03-07,优,19,10,9,14,4,33,0.87,25
2019-03-08,优,21,12,10,15,4,37,0.88,12
2019-03-09,优,21,14,9,12,4,42,0.96,7
2019-03-10,优,24,11,16,22,4,35,1.01,19
2019-03-11,优,50,73,33,50,5,49,0.99,49
2019-03-12,良,82,289,53,87,8,66,1.13,68
2019-03-13,良,75,258,45,82,7,73,0.91,64
2019-03-14,优,45,68,29,48,4,56,0.81,34
2019-03-15,优,47,84,32,45,4,39,0.67,54
2019-03-16,良,69,238,44,74,7,67,0.79,61
2019-03-17,良,66,187,35,81,9,67,0.70,58
2019-03-18,良,85,285,59,117,8,81,1.06,22
2019-03-19,良,66,167,41,83,6,57,0.98,26
2019-03-20,良,52,88,25,52,5,49,0.70,26
2019-03-21,优,44,60,21,43,5,40,0.63,31
2019-03-22,良,51,210,27,51,5,46,0.72,14
2019-03-23,优,30,33,16,29,4,30,0.78,21
2019-03-24,优,25,15,11,21,3,30,0.76,16
2019-03-25,优,35,28,18,33,4,47,0.96,19
2019-03-26,良,71,228,45,89,9,79,1.32,17
2019-03-27,良,55,109,29,58,7,60,0.83,42
2019-03-28,良,57,157,32,62,6,56,0.83,36
2019-03-29,良,51,104,29,53,6,50,0.86,12
2019-03-30,良,51,87,26,46,5,41,0.81,60
2019-03-31,良,51,135,26,53,6,48,0.74,51
2019-04-01,优,31,8,17,31,4,33,0.82,27
2019-04-02,良,52,133,30,56,6,50,0.88,41
2019-04-03,良,59,191,33,68,7,65,0.85,48
2019-04-04,优,45,92,24,46,5,50,0.96,14
2019-04-05,良,52,116,25,50,6,35,0.94,46
2019-04-06,良,65,179,41,67,8,44,0.95,62
2019-04-07,优,50,87,27,49,6,40,0.70,53
2019-04-08,优,43,56,20,42,6,38,0.67,26
2019-04-09,优,36,23,17,35,5,32,0.55,24
2019-04-10,优,49,166,25,49,6,35,0.61,46
2019-04-11,优,40,100,21,40,5,34,0.67,17
2019-04-12,优,24,13,14,22,4,34,0.80,16
2019-04-13,优,37,35,22,36,5,48,0.93,14
2019-04-14,优,47,102,27,46,7,50,0.98,14
2019-04-15,优,26,11,14,25,4,38,0.99,15
2019-04-16,优,32,28,16,24,4,47,0.94,48
2019-04-17,良,55,118,34,55,6,54,1.09,59
2019-04-18,优,41,29,24,41,6,60,0.82,33
2019-04-19,优,32,11,15,22,5,50,0.69,48
2019-04-20,优,31,12,17,24,6,55,0.79,25
2019-04-21,优,42,51,25,42,6,59,0.98,15
2019-04-22,优,33,28,17,30,5,40,0.73,34
2019-04-23,优,42,71,22,39,6,43,0.71,34
2019-04-24,优,40,40,18,38,5,34,0.59,42
2019-04-25,优,46,103,25,47,5,37,0.60,47
2019-04-26,优,48,122,28,49,6,45,0.70,37
2019-04-27,优,32,16,12,20,5,40,0.64,47
2019-04-28,优,42,86,22,38,5,43,0.73,50
2019-04-29,优,45,134,22,44,6,44,0.67,37
2019-04-30,优,35,53,16,31,4,38,0.67,43
2019-05-01,优,29,9,13,24,4,22,0.85,50
2019-05-02,优,28,3,18,27,3,26,0.85,41
2019-05-03,优,36,10,21,38,5,32,0.78,60
2019-05-04,良,59,126,35,66,6,64,0.86,43
2019-05-05,优,23,8,9,13,3,38,0.70,35
2019-05-06,优,18,3,6,10,3,34,0.74,27
2019-05-07,优,21,10,9,18,4,34,0.73,30
2019-05-08,优,22,10,10,15,4,39,0.72,13
