id,充电站名称,地址,省,市,区,纬度,经度
50,万马爱充充电站(东原1891站),重庆市南岸区南滨路东原1891E馆B1层停车场内,重庆市,重庆市,南岸区,29.556704,106.5982
51,星星充电充电站(西正街车库),重庆市渝北区宝圣大道重庆市两江中学校东侧,重庆市,重庆市,渝北区,29.664683,106.600365
52,平为汽车充电站,重庆市渝北区腾芳大道民光圣景苑东北侧约50米,重庆市,重庆市,渝北区,29.711682,106.605292
53,泊充充电站(花园站),重庆市渝北区睦邻路与城兴路交叉路口东南侧(汇祥林里3000),重庆市,重庆市,渝北区,29.719576,106.609798
54,特来电充电站(市长安盛吉汽修),重庆市渝北区台商工业园羽裳路10号,重庆市,重庆市,渝北区,29.671471,106.625489
55,万马爱充充电站(渝北城南),重庆市渝北区双龙东路199-18号,重庆市,重庆市,渝北区,29.706609,106.630464
56,国家电网充电站(盈讯天地),重庆市南岸区长生桥镇茶花路11号茶园盈讯天地,重庆市,重庆市,南岸区,29.487706,106.641868
57,驿满电动汽车充电站(欧麓花园站),重庆市巴南区华林路1415号,重庆市,重庆市,巴南区,29.47033,106.643198
58,重庆友蓉利汽车充电站,重庆市渝北区空港圣地6号(国道319夏成线附近),重庆市,重庆市,渝北区,29.741464,106.644067
59,国家电网充电站,重庆市巴南区合祥路百合佳园西南侧约90米,重庆市,重庆市,巴南区,29.337073,106.65222
60,渝北空港充电站,重庆市渝北区科勒路重庆尚高丽呈酒店(空港店)西侧约110米,重庆市,重庆市,渝北区,29.7545,106.652945
61,特来电充电站(城南家园),重庆市南岸区城南家园公租房四组团水云路14号附1号(公交枢纽站旁),重庆市,重庆市,南岸区,29.520664,106.658489
62,特来电充电站(英利国际),重庆市渝中区大坪支路3号,重庆市,重庆市,渝中区,29.54475764,106.5237902
63,国家电网汽车充电站(重庆市渝北区两江天地充电站),重庆市渝北区金开大道56号,重庆市,重庆市,渝北区,29.63144297,106.538068
64,特来电充电站(重庆渝北区新牌坊中石油站),重庆市渝北区松牌路151号,重庆市,重庆市,渝北区,29.603465,106.523977
65,小桔充电站(重庆市渝北区金融中心),重庆市渝北区星光大道11号,重庆市,重庆市,渝北区,29.61375601,106.513425
66,特来电充电站(重庆渝北区汀香树站),重庆市渝北区龙石路(地面停车场),重庆市,重庆市,渝北区,29.66598062,106.6189705
67,蔚景充电站(重庆宗友汽车充电桩(回兴)),重庆市渝北区宝圣湖街道海福路农贸市场,重庆市,重庆市,渝北区,29.68527362,106.6014999
68,特来电充电站(重庆解放碑邹容广场站),重庆市渝中区临江路69号,重庆市,重庆市,渝中区,29.56425802,106.580531
69,特来电充电站(重庆大学城青年广场站),重庆市沙坪坝区覃家岗街道凤天大道重庆图书馆停车场,重庆市,重庆市,沙坪坝区,29.53862513,106.4612715
70,国家电网充电站(重庆机场A区),重庆市渝北区两路街道翔安路重庆江北国际机场,重庆市,重庆市,渝北区,29.72315522,106.6452256
71,特来电充电站(重庆山语印象养老充电站),重庆市沙坪坝区新山路G85号,重庆市,重庆市,沙坪坝区,29.52186804,106.434595
72,星星充电充电站(重庆市长途汽车站站),重庆市渝中区菜园坝街道老麻抄手(菜园坝店),重庆市,重庆市,渝中区,29.55460998,106.5567836
73,达克云充电站(重庆跨世纪),重庆市南岸区茶园樱花路2号,重庆市,重庆市,南岸区,29.48714646,106.6646847
74,电动汽车充电站,重庆市巴南区江滨路36号,重庆市,重庆市,巴南区,29.39762288,106.5101266
75,特来电充电站(江北金源时代),重庆市江北区建新西路29-1号,重庆市,重庆市,江北区,29.57735105,106.5385729
76,特来电充电站(重庆熙街熙都会站),重庆市沙坪坝区景苑路美丽时光,重庆市,重庆市,沙坪坝区,29.61268913,106.3090963
77,国家电网充电站(重庆朝天门公交枢纽充电站(LG)),重庆市渝中区朝天门公交枢纽站(公交站),重庆市,重庆市,渝中区,29.56465471,106.5527667
78,国家电网充电站(重庆市渝北区壹鹿驾校站),重庆市渝北区松石大道松石北路58号,重庆市,重庆市,渝北区,29.59079153,106.5119302
79,重庆能源充电站(渝北区时装小镇),重庆市渝北区回兴街道羽裳路21号,重庆市,重庆市,渝北区,29.67177267,106.6292281
80,南方众悦重庆双碑充电站,重庆市沙坪坝区双碑街34号-附18号,重庆市,重庆市,沙坪坝区,29.60901709,106.4496325
81,万马爱充充电站(牛角沱站),重庆市渝中区美专校街66号附1号B1层,重庆市,重庆市,渝中区,29.56439075,106.5528435
82,万马爱充充电站(重庆北站南广场公交枢纽站),重庆市渝北区昆仑大道50号南广场公交枢纽站内,重庆市,重庆市,渝北区,29.61306075,106.5574308
83,重庆科技馆充电站(重庆科技馆停车场),文星门街重庆科技馆,重庆市,重庆市,江北区,29.578407,106.584431
84,重庆华通驾校充电站,重庆市大渡口区福溪大道中国石油福茄路加油站西侧约40米,重庆市,重庆市,大渡口区,29.43573524,106.4761666
85,万马爱充充电站(花园新村站),重庆市渝北区松石北路146号,重庆市,重庆市,渝北区,29.59335798,106.511841
86,特来电充电站(金山大厦),重庆市渝北区金渝大道66号金山大厦,重庆市,重庆市,渝北区,29.64890441,106.5724958
87,特斯拉超级充电站(重庆市佳宇英皇酒店站）,重庆市九龙坡区杨家坪直港大道206号,重庆市,重庆市,九龙坡区,29.51091598,106.536872
88,迅电快充汽车充电站(人和园站),重庆市渝北区庐山大道比华利豪园东侧约150米,重庆市,重庆市,渝北区,29.61728416,106.5401739
89,新能源充电站,重庆市沙坪坝区北站东路200号沙坪坝站B4层,重庆市,重庆市,沙坪坝区,29.5601003,106.4665197
90,海福路·友蓉利汽车充电站,重庆市渝北区宝圣湖街道兴科五路,重庆市,重庆市,渝北区,29.68642475,106.6012261
91,星星充电汽车充电站(城南未来),重庆市巴南区龙洲湾街道城南未来I33停车场,重庆市,重庆市,巴南区,29.39536106,106.545614
92,速电通充电站(石马河),重庆市江北区宏帆路壹江城,重庆市,重庆市,江北区,29.59087389,106.4721171
93,驿满电动汽车充电站(两江名居站),重庆市北碚区蔡顺路两江名居-D区东侧约40米,重庆市,重庆市,北碚区,29.75291453,106.5056862
94,万马爱充充电站(重庆市石桥广场),重庆市九龙坡区渝州路59号,重庆市,重庆市,九龙坡区,29.54072991,106.4984583
95,速电通充电站(黄山大道),重庆市渝北区高新园黄山大道中段66号,重庆市,重庆市,渝北区,29.62092701,106.509339
96,星星充电充电站(奥蓝酒店),重庆市渝北区双龙大道218号,重庆市,重庆市,渝北区,29.71195099,106.630999
97,星星充电站(重庆SM广场),重庆市渝北区松石大道148号重庆SM广场B1,重庆市,重庆市,渝北区,29.58853611,106.5016588
98,小桔充电充电站,重庆市南岸区莲池路重庆华臻汽车维修服务有限公司,重庆市,重庆市,南岸区,29.50419713,106.6406507
99,开迈斯充电站,重庆市南岸区南坪北路8号B1层,重庆市,重庆市,南岸区,29.53597424,106.5719912
100,开迈斯充电站,重庆市沙坪坝区大学城中路9号B2层502~509号车位,重庆市,重庆市,沙坪坝区,29.58996074,106.3121452
101,特来电充电站(渝泊停车场),重庆市渝中区鹅岭正街26号,重庆市,重庆市,渝中区,29.5553139,106.546944
102,驿满电动汽车充电站(五里店站),重庆市江北区五里店街道建新东路251号,重庆市,重庆市,江北区,29.58560339,106.5625638
103,腾势充电站(茶园鲁能领秀城站),重庆市南岸区天文街道中国石油茶园东加油站鲁能领秀城1街区,重庆市,重庆市,南岸区,29.49892803,106.636137
104,蔚来充电站(重庆上邦酒店站),重庆市九龙坡区上邦路3号上邦酒店B1层013-017号车位,重庆市,重庆市,九龙坡区,29.49847457,106.3016611
105,万马爱充充电站(龙湖时代天街C馆),重庆市渝中区长江二路174号龙湖重庆时代天街C馆B2,重庆市,重庆市,渝中区,29.541041,106.519165
106,特来电充电站(重庆解放碑英利国际),重庆市渝中区民权路26号,重庆市,重庆市,渝中区,29.56228,106.58173
107,特来电充电站(两路口希尔顿A区),重庆市渝中区中山三路133号重庆希尔顿酒店B2F,重庆市,重庆市,渝中区,29.561347,106.556081
108,特来电充电站(解放碑协信星光),重庆市渝中区五一路99号协信星光广场B4,重庆市,重庆市,渝中区,29.565233,106.587285
109,汽车充电站(经纬大道),重庆市渝中区经纬大道美源·美源西侧约50米,重庆市,重庆市,渝中区,29.552543,106.505432
110,特来电充电站(重庆渝中区湖广会馆充电站),重庆市渝中区长滨路湖广会馆,重庆市,重庆市,渝中区,29.564423,106.59432
111,云杉智慧充电站(七星岗站),重庆市渝中区七星岗财信渝中城旁露天停车场,重庆市,重庆市,渝中区,29.562701,106.574257
112,特来电充电站(歇台子金银湾),重庆市渝中区金银湾209号,重庆市,重庆市,渝中区,29.543563,106.506982
113,星星充电站(R汽车重庆龙湖时代天街...,重庆市渝中区石油路街道时代大道龙湖重庆时代天街C馆地下停车库B1-K25区,重庆市,重庆市,渝中区,29.540587,106.518896
114,小桔充电充电站(BP快充(重庆渝中...,重庆市渝中区重庆国贸格兰维大酒店-地下停车场,重庆市,重庆市,渝中区,29.563522,106.580472
115,国家电网充电站(重庆市渝中区沧白路...,重庆市渝中区沧白路75号附5号,重庆市,重庆市,渝中区,29.567639,106.584952
116,开迈斯充电站(重庆市十八梯传统风貌...,重庆市渝中区十八梯重庆精一民族小学(分部)南侧约110米,重庆市,重庆市,渝中区,29.557519,106.578558
117,国家电网汽车充电站(渝中区市急救医...,重庆市渝中区市急救医疗中心充电站,重庆市,重庆市,渝中区,29.557811,106.551866
118,星星充电充电站(大融汇站),重庆市渝中区朝天门街道新华路3号,重庆市,重庆市,渝中区,29.567888,106.59138
119,星星充电充电站(R汽车重庆龙湖时代...,重庆市渝中区石油路街道时代大道龙湖重庆时代天街02C馆地下停车库B1-K25区(车位号H734到H740),重庆市,重庆市,渝中区,29.542776,106.5187
120,特来电充电站(重庆渝海城B区站),重庆市渝中区民生路318号车库负五楼G5204~213号车位,重庆市,重庆市,渝中区,29.56357,106.575389
121,特来电充电站(龙家湾里面地产),重庆市渝中区嘉滨路219号,重庆市,重庆市,渝中区,29.572358,106.561165
122,国家电网充电站(龙湖时代天街A馆B2站),重庆市渝中区大坪正街75号附7号时代天街A馆负2楼M区107~109号,重庆市,重庆市,渝中区,29.543737,106.517742
123,万马爱充充电站(万马爱充龙湖时代天...,重庆市渝中区长江二路龙湖重庆时代天街D馆B2,重庆市,重庆市,渝中区,29.539282,106.520588
124,国家电网汽车充电站(南区公园路),重庆市渝中区南区公园路重庆市解放路中药材专业市场,重庆市,重庆市,渝中区,29.558301,106.559301
125,开迈斯充电站,重庆市渝中区石油路1号B1层124、125、126、127、129、130、131、132号车位,重庆市,重庆市,渝中区,29.548051,106.516738
126,国家电网充电站(龙湖时代天街A馆),重庆市渝中区时代天街A馆负三楼E区D100~D103号,重庆市,重庆市,渝中区,29.54439,106.517306
127,特来电充电站(重庆万友康年大酒店),重庆市渝中区长江二路77号(地下车库负一楼B4区),重庆市,重庆市,渝中区,29.545783,106.526626
128,特来电充电站(特来电站重庆企业天地...,重庆市渝中区企业天地2号楼,重庆市,重庆市,渝中区,29.55672,106.522318
129,特来电充电站(特来电站重庆协信总部...,重庆市渝中区经纬大道协信总部城A区,重庆市,重庆市,渝中区,29.551596,106.507016
130,特来电充电站(重庆渝中康德国际SO...,重庆市渝中区大坪经纬大道333号康德国际SOCO写字楼,重庆市,重庆市,渝中区,29.549258,106.523781
131,特斯拉充电站(重庆解放碑威斯汀酒店站),重庆市渝中区新华路222号申基金融广场负三层停车场,重庆市,重庆市,渝中区,29.563646,106.586963
132,渝充电充电站(重宾商务大厦),重庆市渝中区民生路279号,重庆市,重庆市,渝中区,29.563562,106.57678
133,星星充电充电站(渝中区地下环道停车场站),重庆市渝中区解放碑地下环道邹容广场西北门南侧约30米,重庆市,重庆市,渝中区,29.564681,106.578819
134,国家电网充电站(石油路街道龙湖时代...,重庆市渝中区时代天街A馆负三楼E区D100-D103号,重庆市,重庆市,渝中区,29.54473,106.52116
135,蔚来充电站(重庆来福士广场站),重庆市渝中区朝天门街道重庆来福士广场,重庆市,重庆市,渝中区,29.570875,106.593794
136,泰坦豪特汽车充电站(华一新街),重庆市渝中区中山一路148号停车场,重庆市,重庆市,渝中区,29.562294,106.569785
137,特斯拉目的地充电站(重庆翰文大酒店...,重庆市渝中区双钢路1号,重庆市,重庆市,渝中区,29.566755,106.571034
138,国家电网充电站(重庆市渝中区化龙桥...,重庆市渝中区化龙桥瑞天路128号重庆天地(商业区)充电站,重庆市,重庆市,渝中区,29.559714,106.511444
139,国家电网充电站(雍江苑1号),重庆市渝中区瑞天路196号车库028车位旁,重庆市,重庆市,渝中区,29.55989,106.509081
140,国家电网充电站(渝中区机关事务管理局站),重庆市渝中区机关事务管理局旁,重庆市,重庆市,渝中区,29.559222,106.575379
141,特斯拉超级充电站(重庆解放碑协信星...,重庆市渝中区五一路99号协信星光广场B1层C区B1-128车位对面,重庆市,重庆市,渝中区,29.564764,106.587138
142,国家电网充电站(雍江艺庭),重庆市渝中区瑞天路,重庆市,重庆市,渝中区,29.559144,106.512363
143,特来电充电站(特来电站重庆协信阿卡...,六店子协信阿卡迪亚E3高,重庆市,重庆市,渝中区,29.553794,106.495905
144,星星充电充电站(重庆仁孚-奔驰星驿...,重庆市渝中区经纬大道789号1-3号,重庆市,重庆市,渝中区,29.552613,106.505403
145,重庆锦若渝充电(重宾充电站),重庆市渝中区民生路283号,重庆市,重庆市,渝中区,29.563322,106.576813
146,蔚来目的地充电站(重庆龙湖时代天街),重庆市渝中区龙湖时代天街C馆车库P11停车场B1层H587-H592车位,重庆市,重庆市,渝中区,29.543036,106.51809
147,小鹏汽车超级充电站(重庆大坪商社站),重庆市渝中区石油路街道石油路10号商社时代,重庆市,重庆市,渝中区,29.550081,106.515513
148,国家电网充电站(重庆市渝中区邹容小...,重庆市渝中区中山二路73号,重庆市,重庆市,渝中区,29.563788,106.571445
149,特来电汽车充电站(重庆协信总部城),重庆市渝中区大坪石油路虎头岩转盘旁,重庆市,重庆市,渝中区,29.55147,106.506905
150,合创-重庆市工业学校充电站,重庆市渝中区交农村360号,重庆市,重庆市,渝中区,29.555712,106.509655
151,国家电网充电站(江北区北城天街),重庆市江北区北城天街充电站,重庆市,重庆市,江北区,29.582799,106.538537
152,特来电充电站(江北区政府),重庆市江北区重庆市江北区寸滩街道重庆市江北区房屋管理局重庆市江北区人民政府,重庆市,重庆市,江北区,29.61286,106.581268
153,云快充充电站(江北区鹿角湾),盘溪二支路加气站旁,重庆市,重庆市,江北区,29.580648,106.491798
154,国家电网充电站(重庆市江北区阳光一百站),重庆市江北区五里店五江路14号明日城市露天停车场,重庆市,重庆市,江北区,29.587213,106.570713
155,开迈斯超级充电站(重庆龙湖源著天街),重庆市江北区福泉路龙湖源著天街B2层停车场,重庆市,重庆市,江北区,29.604776,106.495604
156,渝小鱼充电站(重庆渝澳大道新能源站),重庆市江北区重庆江北渝澳大道69号,重庆市,重庆市,江北区,29.582804,106.527348
157,特来电充电站(重庆市江北区大石坝园达),重庆市江北区大石坝7村200号,重庆市,重庆市,江北区,29.573931,106.495285
158,交运·速电通(江北嘴中央公园超级充电站),重庆市江北区江北嘴中央公园地下停车库A区负二楼,重庆市,重庆市,江北区,29.578827,106.581039
159,鹿角湾超级充电站,重庆市江北区盘溪路中国石油加气站南侧约40米,重庆市,重庆市,江北区,29.580828,106.491955
160,猎户座充电站(江北区锦嘉国际站),重庆市江北区江北城街道北滨二路成大·锦嘉国际大厦,重庆市,重庆市,江北区,29.578039,106.580283
161,重庆市江北区阳光100充电站,重庆市江北区渝鲁大道渝能明日城市,重庆市,重庆市,江北区,29.587193,106.570731
162,特来电充电站(珠江鎏嘉码头b区),重庆市江北区北滨路一号,重庆市,重庆市,江北区,29.57721,106.567206
163,国家电网充电站(重庆市江北区复盛福...,重庆市江北区渝景大道191号,重庆市,重庆市,江北区,29.65317,106.801129
