,毕业去向,就业去向,就业状态,就业类型描述,单位注册地区,单位性质,薪酬范围
480,签就业协议形式就业,国有企业就业,1,协议就业,山东省济南市历下区,国有企业,3000-3499
481,签就业协议形式就业,国有企业就业,1,协议就业,山东省济南市历下区,国有企业,3000-3499
482,签就业协议形式就业,国有企业就业,1,协议就业,山东省济南市历下区,国有企业,4000-4499
483,自由职业,灵活就业等其他自主就业,1,自由职业,山东省济南市历下区,未就业,0
484,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省济南市历下区,其他企业,3000-3499
485,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省济南市历下区,其他企业,3500-3999
486,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省济南市历下区,其他企业,4000-4499
487,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省济南市历下区,其他事业单位,2500-2999
488,升学,升学,1,升学,山东省济南市,高等教育单位,0
489,升学,升学,1,升学,山东省济南市,高等教育单位,0
490,升学,升学,1,升学,山东省济南市,高等教育单位,0
491,升学,升学,1,升学,山东省济南市,高等教育单位,0
492,升学,升学,1,升学,山东省济南市,高等教育单位,0
493,升学,升学,1,升学,山东省济南市,高等教育单位,0
494,升学,升学,1,升学,山东省济南市,高等教育单位,0
495,升学,升学,1,升学,山东省济南市,高等教育单位,0
496,升学,升学,1,升学,山东省济南市,高等教育单位,0
497,升学,升学,1,升学,山东省济南市,高等教育单位,0
498,升学,升学,1,升学,山东省济南市,高等教育单位,0
499,升学,升学,1,升学,山东省济南市,高等教育单位,0
500,升学,升学,1,升学,山东省济南市,高等教育单位,0
501,升学,升学,1,升学,山东省济南市,高等教育单位,0
502,升学,升学,1,升学,山东省济南市,高等教育单位,0
503,升学,升学,1,升学,山东省济南市,高等教育单位,0
504,升学,升学,1,升学,山东省济南市,高等教育单位,0
505,升学,升学,1,升学,山东省济南市,高等教育单位,0
506,升学,升学,1,升学,山东省济南市,高等教育单位,0
507,升学,升学,1,升学,山东省济南市,高等教育单位,0
508,升学,升学,1,升学,山东省济南市,高等教育单位,0
509,升学,升学,1,升学,山东省济南市,高等教育单位,0
510,升学,升学,1,升学,山东省济南市,高等教育单位,0
511,升学,升学,1,升学,山东省济南市,高等教育单位,0
512,升学,升学,1,升学,山东省济南市,高等教育单位,0
513,升学,升学,1,升学,山东省济南市,高等教育单位,0
514,升学,升学,1,升学,山东省济南市,高等教育单位,0
515,升学,升学,1,升学,山东省济南市,高等教育单位,0
516,升学,升学,1,升学,山东省济南市,高等教育单位,0
517,升学,升学,1,升学,山东省济南市,高等教育单位,0
518,升学,升学,1,升学,山东省济南市,高等教育单位,0
519,升学,升学,1,升学,山东省济南市,高等教育单位,0
520,升学,升学,1,升学,山东省济南市,高等教育单位,0
521,升学,升学,1,升学,山东省济南市,高等教育单位,0
522,升学,升学,1,升学,山东省济南市,高等教育单位,0
523,升学,升学,1,升学,山东省济南市,高等教育单位,0
524,升学,升学,1,升学,山东省济南市,高等教育单位,0
525,升学,升学,1,升学,山东省济南市,高等教育单位,0
526,升学,升学,1,升学,山东省济南市,高等教育单位,0
527,升学,升学,1,升学,山东省济南市,高等教育单位,0
528,升学,升学,1,升学,山东省济南市,高等教育单位,0
529,升学,升学,1,升学,山东省济南市,高等教育单位,0
530,升学,升学,1,升学,山东省济南市,高等教育单位,0
531,升学,升学,1,升学,山东省济南市,高等教育单位,0
532,升学,升学,1,升学,山东省济南市,高等教育单位,0
533,升学,升学,1,升学,山东省济南市,高等教育单位,0
534,升学,升学,1,升学,山东省济南市,高等教育单位,0
535,升学,升学,1,升学,山东省济南市,高等教育单位,0
536,升学,升学,1,升学,山东省济南市,高等教育单位,0
537,升学,升学,1,升学,山东省济南市,高等教育单位,0
538,升学,升学,1,升学,山东省济南市,高等教育单位,0
539,升学,升学,1,升学,山东省济南市,高等教育单位,0
540,升学,升学,1,升学,山东省济南市,高等教育单位,0
541,升学,升学,1,升学,山东省济南市,高等教育单位,0
542,升学,升学,1,升学,山东省济南市,高等教育单位,0
543,升学,升学,1,升学,山东省济南市,高等教育单位,0
544,升学,升学,1,升学,山东省济南市,高等教育单位,0
545,升学,升学,1,升学,山东省济南市,高等教育单位,0
546,升学,升学,1,升学,山东省济南市,高等教育单位,0
547,升学,升学,1,升学,山东省济南市,高等教育单位,0
548,升学,升学,1,升学,山东省济南市,高等教育单位,0
549,升学,升学,1,升学,山东省济南市,高等教育单位,0
550,升学,升学,1,升学,山东省济南市,高等教育单位,0
551,升学,升学,1,升学,山东省济南市,高等教育单位,0
552,升学,升学,1,升学,山东省济南市,高等教育单位,0
553,升学,升学,1,升学,山东省济南市,高等教育单位,0
554,升学,升学,1,升学,山东省济南市,高等教育单位,0
555,自主创业,自主创业,1,自主创业,江西省九江市濂溪区,未就业,0
556,签就业协议形式就业,非国有企业就业,1,协议就业,福建省政和县,其他企业,2000以下
557,升学,升学,1,升学,福建省福州市,高等教育单位,0
558,升学,升学,1,升学,福建省福州市,高等教育单位,0
559,升学,升学,1,升学,福建省福州市,高等教育单位,0
560,升学,升学,1,升学,福建省福州市,高等教育单位,0
561,其他录用形式就业,其他形式就业,1,其他录用形式就业,安徽省寿县,其他企业,3500-3999
562,签就业协议形式就业,国有企业就业,1,协议就业,安徽省固镇县,国有企业,3000-3499
563,其他录用形式就业,其他形式就业,1,其他录用形式就业,安徽省芜湖市湾沚区,其他企业,2500-2999
564,签劳动合同形式就业,单位就业,1,劳动合同就业,安徽省合肥市包河区,其他企业,2500-2999
565,升学,升学,1,升学,安徽省合肥市,高等教育单位,0
566,升学,升学,1,升学,浙江省舟山市,高等教育单位,0
567,其他录用形式就业,其他形式就业,1,其他录用形式就业,浙江省衢州市柯城区,其他企业,2000以下
568,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省东阳市,其他企业,3000-3499
569,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省义乌市,其他企业,5500-5999
570,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省湖州市吴兴区,其他企业,4000-4499
571,签就业协议形式就业,国有企业就业,1,协议就业,浙江省嘉兴市南湖区,国有企业,6500-6999
572,其他录用形式就业,其他形式就业,1,其他录用形式就业,浙江省嘉兴市南湖区,其他企业,2500-2999
573,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省温州市瓯海区,其他企业,3000-3499
574,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省宁波市鄞州区,其他企业,8000-8499
575,签就业协议形式就业,国有企业就业,1,协议就业,浙江省宁波市鄞州区,国有企业,2500-2999
576,升学,升学,1,升学,浙江省宁波市,高等教育单位,0
577,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省杭州市余杭区,其他企业,3500-3999
578,签就业协议形式就业,非国有企业就业,1,协议就业,浙江省杭州市拱墅区,其他企业,7000-7499
579,升学,升学,1,升学,浙江省杭州市,高等教育单位,0
580,签就业协议形式就业,国有企业就业,1,协议就业,江苏省高邮市,国有企业,4000-4499
581,其他录用形式就业,其他形式就业,1,其他录用形式就业,江苏省高邮市,其他企业,4500-4999
582,其他录用形式就业,其他形式就业,1,其他录用形式就业,江苏省苏州市姑苏区,其他企业,3500-3999
583,签就业协议形式就业,非国有企业就业,1,协议就业,江苏省苏州市相城区,其他企业,4000-4499
584,签就业协议形式就业,非国有企业就业,1,协议就业,江苏省苏州市吴中区,其他企业,4500-4999
585,签劳动合同形式就业,单位就业,1,劳动合同就业,江苏省沛县,其他企业,3000-3499
586,签就业协议形式就业,事业单位就业,1,协议就业,江苏省丰县,其他事业单位,4500-4999
587,升学,升学,1,升学,江苏省徐州市,高等教育单位,0
588,签就业协议形式就业,非国有企业就业,1,协议就业,江苏省无锡市滨湖区,其他企业,7000-7499
589,签劳动合同形式就业,单位就业,1,劳动合同就业,上海市闵行区,其他企业,5000-5499
590,其他录用形式就业,其他形式就业,1,其他录用形式就业,上海市长宁区,其他企业,2000-2499
591,自主创业,自主创业,1,自主创业,上海市黄浦区,未就业,0
592,升学,升学,1,升学,黑龙江省大庆市,高等教育单位,0
593,升学,升学,1,升学,黑龙江省哈尔滨市,高等教育单位,0
594,升学,升学,1,升学,黑龙江省哈尔滨市,高等教育单位,0
595,升学,升学,1,升学,黑龙江省哈尔滨市,高等教育单位,0
596,升学,升学,1,升学,黑龙江省哈尔滨市,高等教育单位,0
597,升学,升学,1,升学,吉林省长春市,高等教育单位,0
598,升学,升学,1,升学,吉林省长春市,高等教育单位,0
599,升学,升学,1,升学,辽宁省锦州市,高等教育单位,0
600,升学,升学,1,升学,辽宁省锦州市,高等教育单位,0
601,其他录用形式就业,其他形式就业,1,其他录用形式就业,辽宁省海城市,其他企业,2000-2499
602,签劳动合同形式就业,单位就业,1,劳动合同就业,辽宁省大连市甘井子区,其他企业,3500-3999
603,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
604,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
605,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
606,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
607,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
608,升学,升学,1,升学,辽宁省大连市,高等教育单位,0
609,签就业协议形式就业,国有企业就业,1,协议就业,辽宁省沈阳市沈河区,国有企业,3000-3499
610,签就业协议形式就业,国有企业就业,1,协议就业,辽宁省沈阳市沈河区,国有企业,2500-2999
611,升学,升学,1,升学,辽宁省沈阳市,高等教育单位,0
612,升学,升学,1,升学,辽宁省沈阳市,高等教育单位,0
613,升学,升学,1,升学,辽宁省沈阳市,高等教育单位,0
614,其他录用形式就业,其他形式就业,1,其他录用形式就业,内蒙古伊金霍洛旗,其他企业,3000-3499
615,签劳动合同形式就业,单位就业,1,劳动合同就业,内蒙古呼和浩特市赛罕区,其他事业单位,3000-3499
616,升学,升学,1,升学,山西省太原市,高等教育单位,0
617,升学,升学,1,升学,山西省太原市,高等教育单位,0
618,签劳动合同形式就业,单位就业,1,劳动合同就业,河北省廊坊市安次区,其他企业,4000-4499
619,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省献县,其他企业,2000-2499
620,签劳动合同形式就业,单位就业,1,劳动合同就业,河北省安新县,其他企业,2000以下
621,升学,升学,1,升学,河北省保定市,高等教育单位,0
622,升学,升学,1,升学,河北省保定市,高等教育单位,0
623,升学,升学,1,升学,河北省保定市,高等教育单位,0
624,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省平乡县,其他企业,2000-2499
625,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省隆尧县,其他企业,2500-2999
626,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省邯郸市复兴区,其他企业,2000以下
627,签就业协议形式就业,国有企业就业,1,协议就业,河北省邯郸市丛台区,国有企业,4500-4999
628,签就业协议形式就业,非国有企业就业,1,协议就业,河北省邯郸市邯山区,其他企业,5000-5499
629,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省唐山市开平区,其他企业,3500-3999
630,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省石家庄市裕华区,其他企业,2000以下
631,其他录用形式就业,其他形式就业,1,其他录用形式就业,河北省石家庄市新华区,其他企业,2000-2499
632,自主创业,自主创业,1,自主创业,河北省石家庄市桥西区,未就业,0
633,签就业协议形式就业,非国有企业就业,1,协议就业,河北省石家庄市长安区,其他企业,4500-4999
634,升学,升学,1,升学,河北省石家庄市,高等教育单位,0
635,升学,升学,1,升学,河北省石家庄市,高等教育单位,0
636,签劳动合同形式就业,单位就业,1,劳动合同就业,天津市滨海新区,其他企业,4000-4499
637,签就业协议形式就业,非国有企业就业,1,协议就业,天津市滨海新区,其他企业,7000-7499
638,其他录用形式就业,其他形式就业,1,其他录用形式就业,天津市滨海新区,其他企业,2000-2499
639,签就业协议形式就业,国有企业就业,1,协议就业,天津市河西区,国有企业,3000-3499
640,签就业协议形式就业,国有企业就业,1,协议就业,天津市河西区,国有企业,4000-4499
641,签就业协议形式就业,非国有企业就业,1,协议就业,天津市和平区,其他企业,2500-2999
642,升学,升学,1,升学,天津市,高等教育单位,0
643,升学,升学,1,升学,天津市,高等教育单位,0
644,升学,升学,1,升学,天津市,高等教育单位,0
645,升学,升学,1,升学,天津市,高等教育单位,0
646,升学,升学,1,升学,天津市,高等教育单位,0
647,升学,升学,1,升学,天津市,高等教育单位,0
648,其他录用形式就业,其他形式就业,1,其他录用形式就业,北京市大兴区,其他企业,3000-3499
649,其他录用形式就业,其他形式就业,1,其他录用形式就业,北京市通州区,其他企业,4000-4499
650,签劳动合同形式就业,单位就业,1,劳动合同就业,北京市海淀区,其他企业,2000-2499
651,其他录用形式就业,其他形式就业,1,其他录用形式就业,北京市海淀区,其他企业,2000-2499
652,其他录用形式就业,其他形式就业,1,其他录用形式就业,北京市朝阳区,其他企业,3000-3499
653,升学,升学,1,升学,北京市,高等教育单位,0
654,升学,升学,1,升学,北京市,高等教育单位,0
655,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
656,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
657,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
658,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
659,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
660,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
661,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
662,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
663,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
664,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
665,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
666,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
667,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
668,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
669,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
670,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
671,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
672,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
673,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
674,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
675,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
676,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
677,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
678,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
679,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
680,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
681,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
682,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
683,不就业拟升学,其他情况未就业,0,未就业,,未就业,0
684,待就业,未就业,0,未就业,,未就业,0
685,待就业,未就业,0,未就业,,未就业,0
686,待就业,未就业,0,未就业,,未就业,0
687,待就业,未就业,0,未就业,,未就业,0
688,待就业,未就业,0,未就业,,未就业,0
689,待就业,未就业,0,未就业,,未就业,0
690,待就业,未就业,0,未就业,,未就业,0
691,待就业,未就业,0,未就业,,未就业,0
692,待就业,未就业,0,未就业,,未就业,0
693,待就业,未就业,0,未就业,,未就业,0
694,待就业,未就业,0,未就业,,未就业,0
695,待就业,未就业,0,未就业,,未就业,0
696,待就业,未就业,0,未就业,,未就业,0
697,待就业,未就业,0,未就业,,未就业,0
698,待就业,未就业,0,未就业,,未就业,0
699,待就业,未就业,0,未就业,,未就业,0
700,待就业,未就业,0,未就业,,未就业,0
701,待就业,未就业,0,未就业,,未就业,0
702,待就业,未就业,0,未就业,,未就业,0
703,待就业,未就业,0,未就业,,未就业,0
704,待就业,未就业,0,未就业,,未就业,0
705,待就业,未就业,0,未就业,,未就业,0
706,待就业,未就业,0,未就业,,未就业,0
707,待就业,未就业,0,未就业,,未就业,0
708,待就业,未就业,0,未就业,,未就业,0
709,待就业,未就业,0,未就业,,未就业,0
710,待就业,未就业,0,未就业,,未就业,0
711,待就业,未就业,0,未就业,,未就业,0
712,待就业,未就业,0,未就业,,未就业,0
713,待就业,未就业,0,未就业,,未就业,0
714,待就业,未就业,0,未就业,,未就业,0
715,待就业,未就业,0,未就业,,未就业,0
716,待就业,未就业,0,未就业,,未就业,0
717,待就业,未就业,0,未就业,,未就业,0
718,待就业,未就业,0,未就业,,未就业,0
719,待就业,未就业,0,未就业,,未就业,0
720,待就业,未就业,0,未就业,,未就业,0
721,待就业,未就业,0,未就业,,未就业,0
722,待就业,未就业,0,未就业,,未就业,0
723,待就业,未就业,0,未就业,,未就业,0
724,待就业,未就业,0,未就业,,未就业,0
725,待就业,未就业,0,未就业,,未就业,0
726,待就业,未就业,0,未就业,,未就业,0
727,待就业,未就业,0,未就业,,未就业,0
728,待就业,未就业,0,未就业,,未就业,0
729,待就业,未就业,0,未就业,,未就业,0
730,待就业,未就业,0,未就业,,未就业,0
731,待就业,未就业,0,未就业,,未就业,0
732,待就业,未就业,0,未就业,,未就业,0
733,待就业,未就业,0,未就业,,未就业,0
734,待就业,未就业,0,未就业,,未就业,0
735,待就业,未就业,0,未就业,,未就业,0
736,待就业,未就业,0,未就业,,未就业,0
737,待就业,未就业,0,未就业,,未就业,0
738,待就业,未就业,0,未就业,,未就业,0
739,待就业,未就业,0,未就业,,未就业,0
740,待就业,未就业,0,未就业,,未就业,0
741,待就业,未就业,0,未就业,,未就业,0
742,待就业,未就业,0,未就业,,未就业,0
743,待就业,未就业,0,未就业,,未就业,0
744,待就业,未就业,0,未就业,,未就业,0
745,待就业,未就业,0,未就业,,未就业,0
746,待就业,未就业,0,未就业,,未就业,0
747,待就业,未就业,0,未就业,,未就业,0
748,待就业,未就业,0,未就业,,未就业,0
749,待就业,未就业,0,未就业,,未就业,0
750,待就业,未就业,0,未就业,,未就业,0
751,待就业,未就业,0,未就业,,未就业,0
752,待就业,未就业,0,未就业,,未就业,0
753,待就业,未就业,0,未就业,,未就业,0
754,待就业,未就业,0,未就业,,未就业,0
755,待就业,未就业,0,未就业,,未就业,0
756,待就业,未就业,0,未就业,,未就业,0
757,待就业,未就业,0,未就业,,未就业,0
758,待就业,未就业,0,未就业,,未就业,0
759,待就业,未就业,0,未就业,,未就业,0
760,待就业,未就业,0,未就业,,未就业,0
761,待就业,未就业,0,未就业,,未就业,0
762,待就业,未就业,0,未就业,,未就业,0
763,待就业,未就业,0,未就业,,未就业,0
764,待就业,未就业,0,未就业,,未就业,0
765,待就业,未就业,0,未就业,,未就业,0
766,待就业,未就业,0,未就业,,未就业,0
767,待就业,未就业,0,未就业,,未就业,0
768,待就业,未就业,0,未就业,,未就业,0
769,待就业,未就业,0,未就业,,未就业,0
770,待就业,未就业,0,未就业,,未就业,0
771,待就业,未就业,0,未就业,,未就业,0
772,待就业,未就业,0,未就业,,未就业,0
773,待就业,未就业,0,未就业,,未就业,0
774,待就业,未就业,0,未就业,,未就业,0
775,待就业,未就业,0,未就业,,未就业,0
776,待就业,未就业,0,未就业,,未就业,0
777,待就业,未就业,0,未就业,,未就业,0
778,待就业,未就业,0,未就业,,未就业,0
779,待就业,未就业,0,未就业,,未就业,0
780,待就业,未就业,0,未就业,,未就业,0
781,待就业,未就业,0,未就业,,未就业,0
782,待就业,未就业,0,未就业,,未就业,0
783,待就业,未就业,0,未就业,,未就业,0
784,待就业,未就业,0,未就业,,未就业,0
785,待就业,未就业,0,未就业,,未就业,0
786,待就业,未就业,0,未就业,,未就业,0
787,待就业,未就业,0,未就业,,未就业,0
788,待就业,未就业,0,未就业,,未就业,0
789,待就业,未就业,0,未就业,,未就业,0
790,待就业,未就业,0,未就业,,未就业,0
791,待就业,未就业,0,未就业,,未就业,0
792,待就业,未就业,0,未就业,,未就业,0
793,待就业,未就业,0,未就业,,未就业,0
794,待就业,未就业,0,未就业,,未就业,0
795,待就业,未就业,0,未就业,,未就业,0
796,待就业,未就业,0,未就业,,未就业,0
797,待就业,未就业,0,未就业,,未就业,0
798,待就业,未就业,0,未就业,,未就业,0
799,待就业,未就业,0,未就业,,未就业,0
800,待就业,未就业,0,未就业,,未就业,0
801,待就业,未就业,0,未就业,,未就业,0
802,待就业,未就业,0,未就业,,未就业,0
803,待就业,未就业,0,未就业,,未就业,0
804,待就业,未就业,0,未就业,,未就业,0
805,待就业,未就业,0,未就业,,未就业,0
806,待就业,未就业,0,未就业,,未就业,0
807,待就业,未就业,0,未就业,,未就业,0
808,待就业,未就业,0,未就业,,未就业,0
809,待就业,未就业,0,未就业,,未就业,0
810,待就业,未就业,0,未就业,,未就业,0
811,待就业,未就业,0,未就业,,未就业,0
812,待就业,未就业,0,未就业,,未就业,0
813,待就业,未就业,0,未就业,,未就业,0
814,待就业,未就业,0,未就业,,未就业,0
815,待就业,未就业,0,未就业,,未就业,0
816,待就业,未就业,0,未就业,,未就业,0
817,待就业,未就业,0,未就业,,未就业,0
818,待就业,未就业,0,未就业,,未就业,0
819,待就业,未就业,0,未就业,,未就业,0
820,待就业,未就业,0,未就业,,未就业,0
821,待就业,未就业,0,未就业,,未就业,0
822,待就业,未就业,0,未就业,,未就业,0
823,待就业,未就业,0,未就业,,未就业,0
824,待就业,未就业,0,未就业,,未就业,0
825,待就业,未就业,0,未就业,,未就业,0
826,待就业,未就业,0,未就业,,未就业,0
827,待就业,未就业,0,未就业,,未就业,0
828,待就业,未就业,0,未就业,,未就业,0
829,待就业,未就业,0,未就业,,未就业,0
830,待就业,未就业,0,未就业,,未就业,0
831,待就业,未就业,0,未就业,,未就业,0
832,待就业,未就业,0,未就业,,未就业,0
833,待就业,未就业,0,未就业,,未就业,0
834,待就业,未就业,0,未就业,,未就业,0
835,待就业,未就业,0,未就业,,未就业,0
836,待就业,未就业,0,未就业,,未就业,0
837,待就业,未就业,0,未就业,,未就业,0
838,待就业,未就业,0,未就业,,未就业,0
839,待就业,未就业,0,未就业,,未就业,0
840,待就业,未就业,0,未就业,,未就业,0
841,待就业,未就业,0,未就业,,未就业,0
842,待就业,未就业,0,未就业,,未就业,0
843,待就业,未就业,0,未就业,,未就业,0
844,待就业,未就业,0,未就业,,未就业,0
845,待就业,未就业,0,未就业,,未就业,0
846,待就业,未就业,0,未就业,,未就业,0
847,待就业,未就业,0,未就业,,未就业,0
848,待就业,未就业,0,未就业,,未就业,0
849,待就业,未就业,0,未就业,,未就业,0
850,待就业,未就业,0,未就业,,未就业,0
851,待就业,未就业,0,未就业,,未就业,0
852,待就业,未就业,0,未就业,,未就业,0
853,待就业,未就业,0,未就业,,未就业,0
854,待就业,未就业,0,未就业,,未就业,0
855,待就业,未就业,0,未就业,,未就业,0
856,待就业,未就业,0,未就业,,未就业,0
857,待就业,未就业,0,未就业,,未就业,0
858,待就业,未就业,0,未就业,,未就业,0
859,待就业,未就业,0,未就业,,未就业,0
860,待就业,未就业,0,未就业,,未就业,0
861,待就业,未就业,0,未就业,,未就业,0
862,待就业,未就业,0,未就业,,未就业,0
863,待就业,未就业,0,未就业,,未就业,0
864,待就业,未就业,0,未就业,,未就业,0
865,待就业,未就业,0,未就业,,未就业,0
866,待就业,未就业,0,未就业,,未就业,0
867,待就业,未就业,0,未就业,,未就业,0
868,待就业,未就业,0,未就业,,未就业,0
869,待就业,未就业,0,未就业,,未就业,0
870,待就业,未就业,0,未就业,,未就业,0
871,待就业,未就业,0,未就业,,未就业,0
872,待就业,未就业,0,未就业,,未就业,0
873,待就业,未就业,0,未就业,,未就业,0
874,待就业,未就业,0,未就业,,未就业,0
875,待就业,未就业,0,未就业,,未就业,0
876,待就业,未就业,0,未就业,,未就业,0
877,待就业,未就业,0,未就业,,未就业,0
878,待就业,未就业,0,未就业,,未就业,0
879,待就业,未就业,0,未就业,,未就业,0
880,待就业,未就业,0,未就业,,未就业,0
881,待就业,未就业,0,未就业,,未就业,0
882,待就业,未就业,0,未就业,,未就业,0
883,待就业,未就业,0,未就业,,未就业,0
884,待就业,未就业,0,未就业,,未就业,0
885,待就业,未就业,0,未就业,,未就业,0
886,待就业,未就业,0,未就业,,未就业,0
887,待就业,未就业,0,未就业,,未就业,0
888,待就业,未就业,0,未就业,,未就业,0
889,待就业,未就业,0,未就业,,未就业,0
890,待就业,未就业,0,未就业,,未就业,0
891,待就业,未就业,0,未就业,,未就业,0
892,待就业,未就业,0,未就业,,未就业,0
893,待就业,未就业,0,未就业,,未就业,0
894,待就业,未就业,0,未就业,,未就业,0
895,待就业,未就业,0,未就业,,未就业,0
896,待就业,未就业,0,未就业,,未就业,0
897,待就业,未就业,0,未就业,,未就业,0
898,待就业,未就业,0,未就业,,未就业,0
899,待就业,未就业,0,未就业,,未就业,0
900,待就业,未就业,0,未就业,,未就业,0
901,待就业,未就业,0,未就业,,未就业,0
902,待就业,未就业,0,未就业,,未就业,0
903,待就业,未就业,0,未就业,,未就业,0
904,待就业,未就业,0,未就业,,未就业,0
905,待就业,未就业,0,未就业,,未就业,0
906,待就业,未就业,0,未就业,,未就业,0
907,待就业,未就业,0,未就业,,未就业,0
908,待就业,未就业,0,未就业,,未就业,0
909,待就业,未就业,0,未就业,,未就业,0
910,待就业,未就业,0,未就业,,未就业,0
911,待就业,未就业,0,未就业,,未就业,0
912,待就业,未就业,0,未就业,,未就业,0
913,待就业,未就业,0,未就业,,未就业,0
914,待就业,未就业,0,未就业,,未就业,0
915,待就业,未就业,0,未就业,,未就业,0
916,待就业,未就业,0,未就业,,未就业,0
917,待就业,未就业,0,未就业,,未就业,0
918,待就业,未就业,0,未就业,,未就业,0
919,待就业,未就业,0,未就业,,未就业,0
920,待就业,未就业,0,未就业,,未就业,0
921,待就业,未就业,0,未就业,,未就业,0
922,待就业,未就业,0,未就业,,未就业,0
923,待就业,未就业,0,未就业,,未就业,0
924,待就业,未就业,0,未就业,,未就业,0
925,待就业,未就业,0,未就业,,未就业,0
926,待就业,未就业,0,未就业,,未就业,0
927,待就业,未就业,0,未就业,,未就业,0
928,待就业,未就业,0,未就业,,未就业,0
929,待就业,未就业,0,未就业,,未就业,0
930,待就业,未就业,0,未就业,,未就业,0
931,待就业,未就业,0,未就业,,未就业,0
932,待就业,未就业,0,未就业,,未就业,0
933,待就业,未就业,0,未就业,,未就业,0
934,待就业,未就业,0,未就业,,未就业,0
935,待就业,未就业,0,未就业,,未就业,0
936,待就业,未就业,0,未就业,,未就业,0
937,待就业,未就业,0,未就业,,未就业,0
938,待就业,未就业,0,未就业,,未就业,0
939,待就业,未就业,0,未就业,,未就业,0
940,待就业,未就业,0,未就业,,未就业,0
941,待就业,未就业,0,未就业,,未就业,0
942,待就业,未就业,0,未就业,,未就业,0
943,待就业,未就业,0,未就业,,未就业,0
944,待就业,未就业,0,未就业,,未就业,0
945,待就业,未就业,0,未就业,,未就业,0
946,待就业,未就业,0,未就业,,未就业,0
947,待就业,未就业,0,未就业,,未就业,0
948,待就业,未就业,0,未就业,,未就业,0
949,待就业,未就业,0,未就业,,未就业,0
950,待就业,未就业,0,未就业,,未就业,0
951,待就业,未就业,0,未就业,,未就业,0
952,待就业,未就业,0,未就业,,未就业,0
953,待就业,未就业,0,未就业,,未就业,0
954,待就业,未就业,0,未就业,,未就业,0
955,待就业,未就业,0,未就业,,未就业,0
956,待就业,未就业,0,未就业,,未就业,0
957,待就业,未就业,0,未就业,,未就业,0
958,待就业,未就业,0,未就业,,未就业,0
959,待就业,未就业,0,未就业,,未就业,0
960,待就业,未就业,0,未就业,,未就业,0
961,待就业,未就业,0,未就业,,未就业,0
962,待就业,未就业,0,未就业,,未就业,0
963,待就业,未就业,0,未就业,,未就业,0
964,待就业,未就业,0,未就业,,未就业,0
965,待就业,未就业,0,未就业,,未就业,0
966,待就业,未就业,0,未就业,,未就业,0
967,待就业,未就业,0,未就业,,未就业,0
968,待就业,未就业,0,未就业,,未就业,0
969,待就业,未就业,0,未就业,,未就业,0
970,待就业,未就业,0,未就业,,未就业,0
